balance,age,day,campaign,default,housing,loan,months_since_previous_contact,n_previous_contacts,poutcome,education,job,had_contact,is_single,uknown_contact
-41.0,52,14,1,no,no,no,No contact,No contact,unknown,primary,blue-collar,False,False,False
165.0,27,31,3,no,no,no,No contact,No contact,unknown,secondary,admin.,False,False,False
1317.0,38,8,10,no,no,no,No contact,4,unknown,secondary,admin.,False,False,False
1059.0,48,16,2,no,no,no,No contact,2,unknown,secondary,admin.,False,False,False
13.0,45,12,2,no,no,no,0 - 5 months,No contact,unknown,secondary,management,True,False,True
25.0,34,23,2,no,yes,no,No contact,No contact,unknown,secondary,admin.,False,True,False
1969.0,35,7,3,no,yes,no,No contact,2,unknown,secondary,admin.,False,False,False
1044.0,32,27,3,no,no,no,No contact,No contact,unknown,tertiary,technician,False,False,False
328.0,60,11,2,no,yes,no,No contact,No contact,unknown,secondary,technician,False,False,False
7218.0,41,20,1,no,no,yes,No contact,No contact,failure,secondary,housemaid,False,False,True
457.0,33,6,1,no,no,yes,No contact,No contact,unknown,secondary,unemployed,False,True,True
245.0,35,26,2,no,no,no,No contact,1,unknown,tertiary,admin.,False,False,True
3825.0,46,25,1,no,no,no,0 - 5 months,No contact,unknown,primary,entrepreneur,True,False,True
0.0,44,11,1,no,yes,no,No contact,No contact,unknown,secondary,services,False,False,False
237.0,30,17,1,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,True
778.0,60,7,5,no,no,no,No contact,No contact,unknown,primary,blue-collar,False,False,False
0.0,32,7,3,yes,yes,no,No contact,No contact,unknown,secondary,housemaid,False,False,True
162.0,35,16,1,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,True
543.0,36,18,1,no,yes,no,0 - 5 months,1,unknown,secondary,student,True,False,True
0.0,44,13,3,no,no,no,No contact,No contact,failure,secondary,admin.,False,True,False
3283.0,46,12,1,no,yes,yes,No contact,No contact,unknown,secondary,blue-collar,False,False,False
13164.900000000001,37,12,5,no,no,no,Around a year,No contact,other,tertiary,management,True,True,False
8647.0,35,30,2,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,True,True
949.0,40,28,2,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,False
247.0,55,18,1,no,no,no,No contact,No contact,failure,secondary,admin.,False,False,True
2550.0,31,20,3,no,yes,yes,No contact,No contact,other,secondary,technician,False,False,False
0.0,42,20,6,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,True,False
1980.0,35,21,3,no,no,no,No contact,No contact,unknown,secondary,admin.,False,True,False
33.0,37,8,1,no,yes,no,No contact,No contact,unknown,secondary,services,False,False,True
164.0,34,2,1,no,no,yes,No contact,No contact,success,secondary,admin.,False,True,True
114.0,46,13,2,no,no,no,Around a year,No contact,unknown,tertiary,management,True,False,True
136.0,36,18,2,no,yes,no,No contact,No contact,unknown,secondary,services,False,False,True
415.0,60,15,1,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,True
59.0,30,5,1,no,no,no,No contact,No contact,unknown,secondary,admin.,False,False,False
4391.0,30,21,13,no,yes,yes,No contact,No contact,unknown,secondary,blue-collar,False,False,True
808.0,53,14,15,no,no,no,No contact,1,unknown,secondary,admin.,False,False,False
2770.0,30,12,1,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,False,True
819.0,40,3,3,no,yes,no,No contact,No contact,failure,primary,blue-collar,False,False,False
605.0,30,15,21,no,yes,no,No contact,2,unknown,secondary,blue-collar,False,False,True
533.0,42,16,2,no,yes,no,No contact,No contact,unknown,secondary,retired,False,False,False
262.0,59,10,1,no,yes,no,No contact,No contact,unknown,tertiary,management,False,True,False
12926.0,37,5,2,no,no,yes,No contact,No contact,unknown,secondary,services,False,False,True
741.0,53,17,1,no,yes,yes,No contact,No contact,failure,secondary,admin.,False,False,True
123.0,44,21,1,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,False,False
446.0,37,11,2,no,yes,no,No contact,No contact,unknown,unknown,technician,False,True,False
456.0,47,11,4,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,False,False
-2082.0,30,9,1,no,yes,no,No contact,No contact,unknown,secondary,technician,False,False,False
3371.0,23,6,2,no,yes,no,No contact,No contact,other,secondary,blue-collar,False,False,False
-84.0,59,8,1,no,no,no,5 - 8 months,No contact,unknown,secondary,services,True,False,False
1.0,46,5,1,no,no,yes,No contact,No contact,unknown,tertiary,management,False,False,False
8112.0,28,13,2,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,False
123.0,32,18,1,no,no,no,No contact,No contact,unknown,secondary,management,False,False,False
62.0,27,13,3,no,yes,yes,Around a year,No contact,unknown,secondary,management,True,False,False
85.0,34,20,1,no,yes,no,Around a year,No contact,failure,secondary,blue-collar,True,True,False
1055.0,34,6,2,no,no,yes,No contact,No contact,unknown,secondary,blue-collar,False,False,False
-500.0,53,9,4,no,no,no,No contact,No contact,unknown,secondary,technician,False,True,False
2562.0,28,18,25,no,yes,no,No contact,5,unknown,secondary,technician,False,False,False
452.0,53,13,4,no,yes,no,Around a year,1,unknown,secondary,blue-collar,True,True,False
3444.0,50,16,1,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,True
-162.0,33,8,1,no,no,no,Around a year,No contact,unknown,tertiary,management,True,True,False
1336.0,33,10,1,no,yes,no,5 - 8 months,1,unknown,tertiary,management,True,False,True
-85.0,50,18,2,no,yes,no,No contact,No contact,failure,tertiary,management,False,True,True
47.0,30,4,1,no,yes,no,No contact,No contact,unknown,primary,unemployed,False,False,False
276.0,47,2,3,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
1545.0,42,3,7,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,False
1734.0,59,2,5,no,no,no,No contact,No contact,unknown,secondary,services,False,False,False
578.0,39,3,2,no,yes,yes,No contact,No contact,unknown,secondary,technician,False,False,False
179.0,26,11,3,no,yes,no,No contact,No contact,unknown,secondary,management,False,False,False
196.0,47,28,3,no,yes,no,Around a year,No contact,unknown,secondary,entrepreneur,True,False,False
1806.0,59,21,9,no,no,yes,Around a year,No contact,unknown,tertiary,unemployed,True,False,False
593.0,35,21,4,no,yes,no,No contact,No contact,unknown,tertiary,admin.,False,False,True
139.0,57,9,1,no,no,no,No contact,No contact,failure,primary,services,False,False,False
401.0,34,9,2,no,yes,yes,No contact,No contact,failure,secondary,admin.,False,False,False
1454.0,34,23,2,no,no,no,No contact,No contact,unknown,unknown,technician,False,True,True
2204.0,47,8,1,no,no,no,No contact,No contact,unknown,secondary,services,False,False,True
35.0,33,22,2,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
1373.0,50,13,1,no,yes,no,No contact,4,unknown,tertiary,technician,False,False,False
134.0,37,30,2,no,yes,no,No contact,No contact,unknown,tertiary,admin.,False,False,True
419.0,31,20,3,no,yes,yes,No contact,No contact,unknown,tertiary,management,False,True,True
4914.0,45,5,3,no,no,no,0 - 5 months,No contact,unknown,secondary,self-employed,True,False,False
-160.0,31,12,1,no,yes,no,No contact,No contact,failure,secondary,blue-collar,False,True,False
750.0,49,23,1,no,no,no,No contact,No contact,unknown,secondary,services,False,False,False
476.0,46,15,1,no,no,no,No contact,No contact,unknown,primary,admin.,False,True,True
-1621.0,35,21,4,no,yes,no,No contact,No contact,unknown,tertiary,housemaid,False,True,False
150.0,36,21,1,no,yes,no,No contact,No contact,unknown,tertiary,management,False,True,False
-288.0,47,8,3,no,yes,no,5 - 8 months,No contact,success,secondary,blue-collar,True,True,False
3075.0,36,13,1,no,no,no,No contact,No contact,unknown,secondary,housemaid,False,False,False
81.0,43,18,4,no,yes,no,No contact,2,unknown,tertiary,self-employed,False,False,True
0.0,48,27,2,no,yes,no,No contact,No contact,unknown,secondary,technician,False,False,True
0.0,34,19,1,no,yes,no,No contact,2,unknown,secondary,technician,False,False,False
0.0,59,9,2,no,yes,yes,No contact,1,unknown,secondary,blue-collar,False,False,False
790.0,40,13,7,no,no,no,No contact,No contact,unknown,secondary,entrepreneur,False,False,False
755.0,45,9,1,no,yes,no,No contact,No contact,failure,tertiary,management,False,False,False
